device_id,user_id,device_type,ip_address,last_used
0dc7165e-cda4-4d9c-ae7f-70c032f16cf4,BB10000001,Tablet,216.205.10.74,11-02-2023 06:49:41
e5296c45-6ff3-4a79-89c8-d66a401d4f16,BB10000003,iPhone,999.999.999.999,17/08/2023 07:48
d515a679-b054-45f1-88c5-3408e368363c,BB10000003,Android,abc.def.ghi.jkl,07-21-2023 06:23:52
e2b72127-cf8e-4f0d-bfdc-63fb46c12ffb,BB10000003,Tablet,196.89.6.126,"Jul 11, 2024 17:43"
71a4ff4f-7f9e-4051-83aa-ff0199244815,BB10000004,Smart TV,77.254.42.34,2023/10/24 08:24 AM
026ba04f-d592-4413-b2b7-29bf103ad525,BB10000005,Smart TV,214.92.224.197,2024-10-11 10:24:49
640a4273-ebef-4acd-afba-397ca09d667f,BB10000006,Linux,,2024-09-30
6519e063-8ef1-4bf3-a2b2-1903d333889e,BB10000006,iPhone,145.205.224.100,2024-12-18
7d772d6f-4566-4e81-b160-77800a5cb074,BB10000007,Linux,42.55.219.177,28/09/2024 08:56
d2104e23-cb5b-458e-bc67-46f980f5c71f,BB10000007,Tablet,141.199.179.94,"05 April 2025, 14:54"
e9ad4e43-10d4-4c08-b266-a4d169bc7a03,BB10000007,Windows PC,152.80.186.159,"17 July 2023, 01:05"
9cb05209-ec58-4c11-9b4e-2909cae47e74,BB10000009,Smart TV,177.99.242.44,21/10/2024 10:48
5aff6ed8-1d33-4d94-8947-5480665d9e6c,BB10000009,Tablet,220.28.244.34,07-03-2023 22:59:20
5105dda2-e9d6-4ae4-b8ce-a6740bcf1466,BB10000009,iPhone,165.201.65.207,07-02-2024 03:21:44
4f3a854a-a7af-4d9b-a460-e1c70ffa7a5f,BB10000010,MacBook,215.74.241.81,11-22-2024 02:33:53
fbcea6dc-3db2-495c-8158-7c9be499ae28,BB10000010,Linux,19.59.103.90,"09 February 2024, 01:41"
4a524d98-dae3-47c3-aba4-c307564894c8,BB10000011,Smart TV,187.172.180.136,2023/09/03 05:04 AM
361a1ee5-a468-456a-888b-38d6871f215d,BB10000013,Tablet,145.22.42.33,"Oct 01, 2024 01:28"
c02ff4f7-2983-4fd7-8ef4-89e105408afc,BB10000013,Tablet,200.175.62.248,31/05/2024 13:47
e8cbde8b-afab-4bdf-b410-8470b635f26d,BB10000013,Tablet,88.72.255.125,2023-11-20
69dc14e4-51de-4acd-b119-a84840fafcbf,BB10000014,MacBook,202.112.113.102,18/09/2024 11:49
3489f797-0abe-4379-a01b-eb9fefe4b41f,BB10000014,Linux,66.13.238.40,"15 December 2024, 11:10"
34c58a82-126a-4e4f-85e8-022a4be2e6f4,BB10000014,iPhone,141.128.190.43,03-04-2025 10:09:57
4a07fa12-2b47-49c8-8709-be4ce59d37e5,BB10000015,MacBook,197.66.58.235,2023-10-09
1047e378-0d24-4f11-8c3b-5e91b24a41f4,BB10000016,Smart TV,157.93.212.42,2023-08-19 18:15:28
4395aa3b-2538-4ece-8c3d-c4ef0af8ce1e,BB10000016,Tablet,80.208.194.47,"03 November 2024, 01:47"
7493f4d1-a471-42a1-86bf-6ae51a2fd2b6,BB10000016,Tablet,171.152.252.114,26/01/2024 19:50
6e6fc85d-f3c9-4785-a7a5-ade6163f1d7e,BB10000017,Tablet,37.209.117.182,09/11/2024 11:30
ef7b2039-d79c-4dc1-8e39-e654c5b18409,BB10000017,Linux,74.61.37.32,2024/12/05 11:51 PM
9db478bb-d09d-42da-9b50-119af8d440fa,BB10000017,Smart TV,188.80.3.136,10/02/2024 03:52
129820dc-081a-4629-99a7-b36d66e7f13a,BB10000018,Linux,176.94.13.114,2024-09-15 07:54:13
c6c7553f-25ce-41f6-bf27-a0469ea2f3ea,BB10000019,iPhone,49.19.169.242,"18 November 2024, 20:12"
50cee050-f66a-4517-a91b-bb73307aa437,BB10000019,Smart TV,155.211.49.166,2023-08-30
6df52cb5-c0d0-4ba4-ac74-55e62804aa57,BB10000020,Tablet,14.27.107.183,"16 April 2025, 08:10"
40186b6b-e79e-41cd-bcda-b31d1b527a81,BB10000021,Android,38.207.111.87,01/02/2025 07:00
9ac23c7b-89f6-4aa4-b57f-c97c8b127e9c,BB10000022,MacBook,163.46.189.104,"27 August 2023, 01:00"
5eb46098-6a60-4eeb-bb05-71132acf799e,BB10000022,Tablet,32.9.94.180,"Jul 17, 2024 21:54"
0f0b6e16-5ed7-47e3-ba77-230a90a9c822,BB10000022,Tablet,151.59.19.173,2025-02-07
dc2a7d70-a9ea-4f10-9f6d-bddcc421af02,BB10000023,Android,0.0.0.0,03/01/2025 21:51
8a3d6fa6-7486-49fa-a1e8-019c5de8df9a,BB10000024,iPhone,143.106.112.170,2025-02-06 18:20:40
593d3ea6-fc88-43f0-8c5f-ed10b538223d,BB10000025,iPhone,95.26.119.184,"Dec 23, 2024 11:37"
d3a23df9-d101-4bd6-9e38-164582c3508e,BB10000025,Android,194.131.121.13,2024-08-31
4c80a75f-2743-4e87-b0b1-ba4b9a2ad3ad,BB10000026,Smart TV,221.138.88.147,2025-04-10 20:14:57
52d408da-c402-4979-b839-94bda52eede4,BB10000028,MacBook,194.205.250.139,10-09-2024 04:34:51
84ba9ee8-4000-451a-b1d1-91ac9764fe21,BB10000028,Tablet,172.111.204.62,"Mar 22, 2024 10:03"
9a78e746-5206-4837-8a96-fb7d45775787,BB10000029,Android,215.238.215.195,18/10/2023 12:47
896022fc-20b0-4ff1-a5d2-63dee80ddd7a,BB10000030,MacBook,142.186.51.36,"Jul 10, 2024 05:45"
7a6cb7ae-9420-45c4-afe1-45d97c103246,BB10000030,Smart TV,67.196.150.120,2023-10-21 15:11:56
fee18459-ab07-47c1-b842-d76efafb9b61,BB10000031,SmartToaster,18.68.118.162,"16 May 2024, 23:26"
e7e6050f-c6a8-4d38-82c2-81441feba2af,BB10000031,Smart TV,182.219.7.39,"Jun 04, 2024 07:05"
1c9e5b4d-75d4-493a-b58e-d743750a041e,BB10000031,Android,197.228.3.223,31/10/2023 21:36
c2dc950c-bc9e-4422-98ad-f24c8f82582c,BB10000032,Windows PC,163.11.235.69,2023/07/15 07:10 AM
d00d6ec3-b084-4cab-89b6-a59c56ebe0a5,BB10000032,MacBook,221.141.244.194,"02 March 2024, 16:44"
6b6d71a5-07f1-4121-8fd6-83c70f457de6,BB10000033,MacBook,211.38.61.61,2023-06-20 16:08:02
7875657f-852b-47ec-904d-63ee0a151198,BB10000033,Linux,211.127.33.196,2023/11/05 12:49 AM
e04a0e09-74bd-4cd2-ac79-84276393f123,BB10000033,iPhone,40.248.191.45,"10 March 2024, 13:43"
6db9e174-936f-4abf-ab5f-37d38e184205,BB10000034,Linux,132.211.27.36,2024-03-26
3ae7d4f9-be37-49b8-a3f5-dc7f5a5e70ae,BB10000036,iPhone,208.120.229.117,2025-04-14
34b2be72-721d-498b-80e6-4a899041ab51,BB10000036,Linux,95.20.190.133,04-23-2024 00:26:47
e4dee080-8022-4011-b8f5-3653b5e54177,BB10000037,Windows PC,170.168.150.162,02-08-2024 05:28:35
e9fb7c85-c80b-42ed-b5c5-978a3c791e79,BB10000037,Windows PC,157.30.219.110,12-01-2023 18:21:15
dfb0f20d-93be-44b7-afa2-49691d5c42e3,BB10000037,Tablet,199.249.44.254,"28 August 2023, 11:19"
d218b28e-d8e4-40ca-8291-f2d6fe6582d5,BB10000038,MacBook,131.190.48.181,2024-07-03 11:24:45
b61aa480-3ad1-4b26-8287-c60df56f2563,BB10000040,Android,218.9.12.247,18/06/2023 03:41
